id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,0,49,100.0,100.0,0,69140,-1,1,-4,4,2.4,0,2,0.7,1.2,2,Shkodran,0.7,5,0,13.3,False,56.8,260,0,2019-11-28T23:00:21.541666Z,51,0,0,0,69140.jpg,2.0,0,0,Mustafi,0.3,False,0.0,a,1,3,73.0,8,8807,104,33767,102,0.1,1.6,Mustafi,0,15,1,0,90.0,0.0,20.0,4.0,3.0,0.13,3.0,170.0,57.0,0.0,3.0,2.0,0.4,3.32,12.25,14.2,0.6,18.25,1.33,1.93,8.33,12.33,0.53,6.33,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
2,0,26,100.0,50.0,0,98745,0,0,-1,1,22.7,0,2,0.0,0.2,0,Héctor,0.0,6,0,6.9,False,30.8,262,0,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.2,False,0.0,a,1,3,15.0,1,35299,213,38063,132,0.0,0.2,Bellerín,2,15,1,0,0.0,13.0,7.0,3.0,3.0,0.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.3,8.67,10.27,7.57,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
3,1,219,0.0,50.0,2,111457,0,0,-3,3,156.3,0,2,0.6,0.8,0,Sead,1.2,18,0,41.2,False,190.0,1086,Thigh injury - Expected back 16 Feb,2020-01-15T13:30:21.603499Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,0.0,i,1,3,67.0,34,55120,36,122158,1472,0.2,6.5,Kolasinac,3,15,1,0,0.0,8.0,3.0,16.0,12.0,0.8,2.0,158.0,79.0,3.0,0.0,2.0,1.0,2.58,13.69,11.88,9.77,4.19,3.5,1.7,11.5,7.8,3.35,6.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
4,3,216,100.0,100.0,3,154043,0,0,-4,4,155.4,1,2,2.7,3.2,2,Ainsley,2.7,19,0,44.9,False,261.8,1210,0,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.7,False,0.0,a,1,3,37.0,36,585134,1682,594772,3663,0.6,7.8,Maitland-Niles,3,15,1,0,90.0,0.0,10.0,14.0,13.0,0.57,5.0,450.0,90.0,0.0,0.0,5.0,1.0,3.21,15.43,18.7,11.1,2.64,2.0,1.9,13.2,15.8,2.38,0.8,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
5,5,286,75.0,100.0,3,39476,0,0,-1,1,31.8,1,2,2.4,3.7,0,Sokratis,3.2,25,2,57.1,False,431.6,1606,Illness - 75% chance of playing,2020-01-18T17:00:22.046513Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.5,False,0.0,d,1,3,106.0,52,137924,259,172145,6346,0.7,10.6,Sokratis,5,15,1,0,0.0,2.0,3.0,18.0,18.0,0.86,3.0,256.0,85.0,2.0,0.0,3.0,1.0,3.17,15.89,23.98,1.77,5.89,6.33,4.27,20.67,30.47,0.37,11.67,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
6,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,0.0,u,1,3,12.0,10,28108,4,88583,52,0.0,2.0,Monreal,0,15,1,0,0.0,20.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.33,18.0,15.73,13.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,0.0,u,1,3,0.0,0,562,5,12623,11,0.0,0.0,Koscielny,0,15,1,0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
8,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,0.0,n,1,3,0.0,0,1065,6,4632,58,0.0,0.0,Mavropanos,0,15,1,0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,0.0,u,1,3,0.0,0,393,5,2544,7,0.0,0.0,Jenkinson,0,15,1,0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
10,0,9,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.0,0.5,0,Rob,0.0,2,0,1.1,False,8.4,76,0,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,0.0,a,1,3,2.0,1,11092,84,13590,126,0.0,0.2,Holding,0,15,1,0,0.0,9.0,13.0,1.0,1.0,0.07,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.1,9.0,8.4,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,1.5,1.3,1.6,1.6,22.0,33.0,112.3,100.6,117.4,90.5,11.9,17.0,110.4,33.3,26.9,76.5,26.0,28.4,122.4,71.4,89.6,93.4,13.2,14.9,102.2,35.1,11.6,72.2
