id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,last_opponent,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5
1,0,0,100.0,0.0,0,69140,0,0,-2,2,0.0,0,2,1.0,0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,0,0,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,0.0,a,1,3,0.0,0,5839,385,27237,778,0.0,0.0,Mustafi,0,3,1,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
2,0,0,100.0,100.0,0,98745,0,0,-1,1,0.0,0,2,1.0,0.5,0,Héctor,0.0,0,0,0.0,False,0.0,0,0,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.3,False,0.0,a,1,3,0.0,0,17187,4743,8811,1817,0.0,0.0,Bellerín,0,3,1,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
3,1,93,100.0,100.0,1,111457,0,0,-1,1,76.1,0,2,4.2,3.7,7,Sead,3.2,7,0,18.6,False,87.6,469,0,2019-09-19T23:30:10.394662Z,54,0,0,0,111457.jpg,2.5,0,0,Kolasinac,0.9,False,0.0,a,1,3,23.0,15,34441,6464,75103,2399,0.6,2.8,Kolasinac,1,3,1,0,90.0,1.0,2.0,6.0,5.0,0.71,5.0,450.0,90.0,0.0,0.0,5.0,1.0,3.1,15.5,14.6,12.68,3.83,2.8,3.66,18.2,17.08,15.16,4.6,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
4,3,92,100.0,100.0,1,154043,0,0,0,0,108.2,1,2,1.2,0.7,0,Ainsley,0.2,10,0,27.1,False,136.4,490,0,2019-09-22T18:00:10.824841Z,50,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,4.9,False,0.0,a,1,3,31.0,17,539692,2355,399400,31367,0.0,3.4,Maitland-Niles,0,3,1,0,0.0,0.0,3.0,6.0,5.0,0.62,3.0,220.0,73.0,0.0,3.0,2.0,0.4,4.52,15.33,22.73,18.03,5.17,0.67,4.83,10.0,19.73,22.17,8.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
5,2,126,100.0,0.0,2,39476,0,0,0,0,24.0,0,2,3.5,3.0,6,Sokratis,2.5,11,0,18.4,False,150.2,720,0,0,50,0,0,0,39476.jpg,2.6,0,0,Papastathopoulos,1.9,False,0.0,a,1,3,10.0,21,76518,5214,84082,3606,0.5,4.2,Sokratis,1,3,1,0,90.0,0.0,0.0,8.0,8.0,1.0,5.0,450.0,90.0,0.0,0.0,5.0,1.0,2.3,15.75,18.77,3.0,1.25,2.0,1.84,12.4,14.52,2.38,1.6,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
6,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,0.0,u,1,3,12.0,10,27905,15,84234,980,0.0,2.0,Monreal,0,3,1,0,0.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.33,18.0,15.73,13.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
7,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,0.0,u,1,3,0.0,0,316,17,11916,118,0.0,0.0,Koscielny,0,3,1,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
8,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,1.0,0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,0,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,0.0,a,1,3,0.0,0,353,53,3462,62,0.0,0.0,Mavropanos,0,3,1,0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
9,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,0.0,u,1,3,0.0,0,182,18,2196,50,0.0,0.0,Jenkinson,0,3,1,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
10,0,0,100.0,100.0,0,156074,0,0,0,0,0.0,0,2,1.0,0.5,0,Rob,0.0,0,0,0.0,False,0.0,0,0,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.2,False,0.0,a,1,3,0.0,0,7774,811,5579,729,0.0,0.0,Holding,0,3,1,0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1.6,1.5,1.8,1.4,22.1,43.3,110.5,138.2,184.6,89.1,15.6,19.1,101.2,54.4,36.2,84.6,20.6,45.4,107.3,144.6,202.4,84.6,19.8,18.2,107.3,40.7,35.0,93.4
