web_name,opponent_17,predicted_points_17,opponent_18,predicted_points_18,opponent_19,predicted_points_19,opponent_20,predicted_points_20,opponent_21,predicted_points_21,predicted_points_mean,points_per_game,form,id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,in_dreamteam,news,news_added,now_cost,photo,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,last_opponent,fixture_difficulty,opponent,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_ict_index_conceded_pg_atk,opp_influence_conceded_pg_atk,opp_creativity_conceded_pg_atk,opp_threat_conceded_pg_atk,opp_bps_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_ict_index_conceded_pg_def,opp_influence_conceded_pg_def,opp_creativity_conceded_pg_def,opp_threat_conceded_pg_def,opp_bps_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_ict_index_conceded_pg_atk_last5,opp_influence_conceded_pg_atk_last5,opp_creativity_conceded_pg_atk_last5,opp_threat_conceded_pg_atk_last5,opp_bps_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_def_last5,defender,attacker,minutes_last_game,games_injured,games_dropped,games_played,games_started,nail,games_played_last5,minutes_last5,minutes_pg_last5,games_injured_last5,games_dropped_last5,games_started_last5,nail_last5,ict_index_pg,bps_pg,influence_pg,creativity_pg,threat_pg,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5
Haaland,LEE,6.84,EVE,9.36,CHE,7.31,MUN,14.48,WOL,7.05,9.01,9.5,0.0,318,100.0,100.0,223094,0,0,7,-7,5,4,1.0,1.0,1,Erling,True,0,2022-10-25T22:30:07.174496Z,122,223094.jpg,Haaland,83.4,False,0.0,a,13,43,123,5215066,130049,1644417,37663,0.0,10.1,1036,18,3,5,13,0,0,0,2,0,0,19,517,675.6,176.5,929.0,178.2,12,11.052,2.09805,13.15005,9.2593,1,1,81,8,1,1,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.9601200000000001,0.0,0.18225999999999998,1.14238,0.80438,1.13,3,1,665,77,2,1,1,1,1.04247,0.43436,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,1.0,3.0,13.0,12.0,0.8,3.0,195.0,65.0,1.0,2.0,2.0,0.5,13.71,39.77,51.97,13.58,71.46,6.33,9.8,29.0,33.73,15.27,49.0
Foden,LEE,6.81,EVE,8.49,CHE,7.16,TOT,13.45,WOL,6.95,8.57,5.4,0.0,314,100.0,0.0,209244,0,0,3,-3,2,3,1.0,1.0,9,Phil,False,0,0,83,209244.jpg,Foden,20.2,False,0.0,a,13,43,76,3814862,270082,2457917,444902,0.0,9.2,905,7,4,2,10,0,0,0,1,0,0,6,286,403.2,376.5,442.0,122.3,11,3.7061,2.04467,5.750769999999999,7.7884,13,4,15,10,19,11,11,5,3.0,0.0,0.0,0.0,0.0,0.0,0.36856,0.0,0.20334000000000002,0.5719,0.77454,0.99,14,6,654,281,17,11,20,8,1.09392,0.1989,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,0.0,6.0,14.0,10.0,0.62,4.0,157.0,39.0,0.0,4.0,1.0,0.2,8.74,20.43,28.8,26.89,31.57,3.0,5.32,8.75,12.35,13.03,27.75
De Bruyne,LEE,5.79,EVE,8.41,CHE,7.97,TOT,13.16,WOL,6.8,8.43,6.4,0.0,301,100.0,0.0,61366,0,0,6,-6,2,3,1.0,1.0,2,Kevin,True,0,0,126,61366.jpg,De Bruyne,38.4,False,0.0,a,13,43,90,4680581,398036,2687795,319724,0.0,7.1,1130,3,10,5,12,0,0,0,0,0,0,13,344,447.6,702.7,354.0,150.5,13,2.5047,6.8131,9.3178,9.3333,8,1,1,1,32,18,4,1,1.0,0.0,1.0,0.0,3.0,0.0,0.19949,0.0,0.54264,0.7421300000000001,0.74336,0.96,2,2,666,285,6,2,6,2,1.0354,0.39823000000000003,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,0.0,3.0,14.0,13.0,0.81,4.0,360.0,90.0,0.0,1.0,4.0,0.8,10.75,24.57,31.97,50.19,25.29,7.25,12.82,25.25,35.9,60.4,31.75
Cancelo,LEE,7.09,EVE,7.93,CHE,5.93,TOT,13.62,WOL,7.18,8.35,5.0,0.0,306,100.0,0.0,121145,0,0,4,-4,4,2,1.0,1.0,1,João,False,0,0,74,121145.jpg,Cancelo,52.9,False,0.0,a,13,43,70,3356014,243950,2372674,437117,0.0,9.5,1116,2,2,6,13,0,0,0,3,1,0,10,284,258.4,242.1,234.0,72.7,14,0.6838,1.40981,2.09361,10.9546,73,20,48,7,60,2,53,5,0.0,0.0,0.0,0.0,0.0,0.0,0.05515,0.0,0.11369000000000001,0.16884000000000002,0.88344,1.05,30,1,638,234,24,5,3,2,1.12903,0.48386999999999997,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,85.0,0.0,3.0,14.0,13.0,0.81,4.0,290.0,72.0,0.0,2.0,3.0,0.6,5.19,20.29,18.46,17.29,16.71,1.75,3.95,9.5,8.5,14.27,18.5
Gündogan,LEE,6.05,EVE,7.64,CHE,6.3,MUN,12.49,WOL,6.32,7.76,3.8,0.0,300,100.0,0.0,59859,0,0,-2,2,0,3,1.0,1.0,2,Ilkay,False,0,0,73,59859.jpg,Gündogan,2.1,False,0.0,a,13,43,45,690022,6288,706876,11767,0.0,6.2,890,2,2,4,9,0,0,0,0,0,0,3,196,217.8,325.4,262.0,80.2,10,2.0668,1.80367,3.8704699999999996,7.8481,111,47,25,19,52,30,39,28,4.0,0.0,2.0,0.0,5.0,0.0,0.209,0.0,0.18239,0.3914,0.7936300000000001,0.91,32,16,636,271,78,37,116,39,1.01124,0.40449,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,0.0,6.0,12.0,10.0,0.62,3.0,270.0,90.0,0.0,2.0,3.0,0.6,6.68,16.33,18.15,27.12,21.83,3.33,5.17,13.67,13.93,22.03,16.67
Bernardo,LEE,5.61,EVE,7.49,CHE,6.09,MUN,12.17,WOL,6.14,7.5,4.6,0.0,311,100.0,0.0,165809,0,0,-1,1,1,3,1.0,1.0,2,Bernardo,False,0,0,69,165809.jpg,Veiga de Carvalho e Silva,7.8,False,0.0,a,13,43,64,1660407,39097,1735050,122947,0.0,9.3,1067,2,6,5,13,0,0,0,1,0,0,6,250,286.4,301.2,256.0,84.4,12,1.2852,2.01887,3.30407,10.5056,58,23,29,23,53,31,32,21,5.0,0.0,0.0,0.0,0.0,0.0,0.1084,0.0,0.17029,0.27869,0.88613,1.1,40,20,627,266,39,18,44,14,1.0121799999999999,0.42173999999999995,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,0.0,4.0,14.0,12.0,0.75,4.0,360.0,90.0,0.0,1.0,4.0,0.8,6.03,17.86,20.46,21.51,18.29,3.75,6.2,17.25,16.25,24.57,21.25
Laporte,LEE,5.92,EVE,6.95,CHE,5.4,MUN,12.23,WOL,6.33,7.37,2.2,0.0,309,100.0,100.0,146941,0,0,-2,2,0,2,1.0,1.0,1,Aymeric,False,0,2022-09-16T15:00:09.357384Z,58,146941.jpg,Laporte,0.4,False,0.0,a,13,43,9,35871,11277,61473,7005,0.0,1.6,285,0,0,1,5,0,0,0,0,0,0,0,56,50.8,51.0,40.0,14.1,3,0.1849,0.20567,0.39057,3.947,318,124,227,63,264,79,320,110,0.0,0.0,0.0,0.0,0.0,0.0,0.05839,0.0,0.06495,0.12334,1.24642,1.58,77,8,586,225,248,90,259,93,0.94737,0.31579,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,90.0,8.0,5.0,4.0,3.0,0.38,3.0,270.0,90.0,0.0,2.0,3.0,0.6,3.52,14.0,12.7,12.75,10.0,3.0,4.57,18.0,16.93,16.97,12.0
Mahrez,LEE,5.45,EVE,7.14,CHE,5.71,TOT,12.15,WOL,6.04,7.3,2.4,0.0,303,100.0,0.0,103025,0,0,-5,5,0,3,1.0,1.0,0,Riyad,False,0,0,75,103025.jpg,Mahrez,1.5,False,0.0,a,13,43,22,113291,9986,534827,8424,0.0,2.9,368,1,1,2,6,0,0,0,1,0,0,0,83,76.4,141.0,153.0,37.1,4,1.1557,0.70011,1.85581,2.5095,283,126,112,79,117,74,167,96,2.0,0.0,3.0,0.0,2.0,0.0,0.28264,0.0,0.17122,0.45387,0.61374,1.47,26,13,641,273,217,90,147,49,0.97826,0.48913,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,0.0,0.0,12.0,9.0,4.0,0.25,1.0,61.0,61.0,0.0,4.0,1.0,0.2,4.12,9.22,8.49,15.67,17.0,1.0,5.8,0.0,5.6,15.6,37.0
Stones,LEE,6.03,EVE,6.82,CHE,5.01,TOT,12.17,WOL,6.48,7.3,3.6,0.0,302,100.0,100.0,97299,0,0,-1,1,1,2,1.0,1.0,1,John,False,0,2022-09-27T09:00:07.675438Z,54,97299.jpg,Stones,1.6,False,0.0,a,13,43,32,139335,17052,271011,13502,0.0,5.9,730,0,2,3,9,1,0,0,1,0,0,3,174,139.2,87.0,77.0,30.4,8,0.4023,0.74145,1.14375,6.0462,200,77,171,39,189,34,212,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.0,0.09141,0.14101,0.74542,1.11,124,14,538,222,89,20,136,47,0.9863,0.36985999999999997,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,90.0,4.0,4.0,9.0,8.0,0.67,3.0,270.0,90.0,1.0,1.0,3.0,0.75,3.38,19.33,15.47,9.67,8.56,3.33,4.67,19.0,11.47,17.53,17.33
Grealish,LEE,5.8,EVE,7.03,CHE,5.59,TOT,11.97,WOL,6.04,7.29,3.4,0.0,305,100.0,100.0,114283,0,0,-2,2,0,3,1.0,1.0,0,Jack,False,0,2022-08-22T07:00:05.758441Z,68,114283.jpg,Grealish,1.1,False,0.0,a,13,43,27,127687,2691,402056,5431,0.0,4.0,546,1,1,3,3,0,0,0,0,0,0,2,109,90.8,206.2,151.0,44.4,6,0.888,1.34416,2.23216,3.2538,265,118,61,48,118,75,123,76,0.0,0.0,0.0,0.0,0.0,0.0,0.14637,0.0,0.22155999999999998,0.36794,0.5363399999999999,0.49,43,22,623,264,104,47,165,54,0.9890100000000001,0.49451000000000006,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,0.0,3.0,7.0,8.0,6.0,0.46,3.0,229.0,76.0,0.0,2.0,3.0,0.6,5.55,13.62,11.35,25.78,18.88,3.33,3.5,9.33,3.47,21.2,11.33
Akanji,LEE,5.98,EVE,6.83,CHE,5.06,TOT,12.19,WOL,6.28,7.27,3.8,0.0,610,100.0,0.0,211975,0,0,0,0,0,2,1.0,1.0,5,Manuel,False,0,0,50,211975.jpg,Akanji,1.4,False,0.0,a,13,43,30,238260,70160,101736,48713,0.0,6.0,701,0,1,3,8,0,0,0,1,0,0,2,150,116.2,55.6,96.0,26.8,8,0.5101,0.15181,0.66191,7.116,225,85,218,58,167,25,237,73,0.0,0.0,0.0,0.0,0.0,0.0,0.06548999999999999,0.0,0.01949,0.08498,0.91361,1.03,198,27,479,215,76,17,152,53,1.0271,0.38516,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,90.0,0.0,3.0,8.0,8.0,0.73,4.0,341.0,85.0,0.0,1.0,4.0,0.8,3.35,18.75,14.52,6.95,12.0,3.75,4.12,17.0,15.6,12.52,13.0
Ederson,LEE,5.78,EVE,6.74,CHE,5.17,TOT,12.65,WOL,5.7,7.21,4.1,0.0,307,100.0,0.0,121160,0,0,-1,1,0,1,1.0,1.0,2,Ederson,False,0,0,54,121160.jpg,Santana de Moraes,13.6,False,0.0,a,13,43,57,1052101,98358,1443241,142672,0.0,10.6,1260,0,1,6,14,0,0,0,0,0,25,3,283,262.0,13.0,0.0,27.6,14,0.0,0.21666999999999997,0.21666999999999997,11.2813,69,17,339,3,658,68,235,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78571,0.01548,0.01548,0.80581,1.0,126,3,540,68,59,9,30,4,1.0,0.42857,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,90.0,0.0,2.0,14.0,14.0,0.88,4.0,360.0,90.0,0.0,1.0,4.0,0.8,1.97,20.21,18.71,0.93,0.0,4.5,3.25,21.5,29.2,3.25,0.0
Salah,AVL,6.67,LEI,7.4,BRE,6.74,BHA,6.58,CHE,8.11,7.1,5.9,0.0,283,100.0,0.0,118748,0,0,-2,2,2,3,1.0,1.0,2,Mohamed,True,0,0,128,118748.jpg,Salah,32.8,False,0.0,a,12,14,82,2919377,401792,5384308,304141,0.0,6.4,1237,6,4,4,16,0,0,0,0,0,0,8,181,345.2,364.2,720.0,143.1,14,7.0477,2.3817,9.4294,18.6244,32,14,18,13,5,1,5,2,0.0,0.0,0.0,0.0,2.0,0.0,0.51277,0.0,0.17328,0.68605,1.35505,1.16,1,1,667,286,13,7,9,4,1.0185899999999999,0.29103,17,2,2,0,1.0,1.4,1.8,1.8,22.9,30.9,96.1,87.1,125.8,76.8,18.2,13.7,84.8,29.0,23.1,87.4,27.0,37.8,104.7,116.2,157.2,90.8,16.8,12.4,73.4,31.4,19.4,85.0,0,1,90.0,0.0,2.0,14.0,14.0,0.88,5.0,450.0,90.0,0.0,0.0,5.0,1.0,10.22,12.93,24.66,26.01,51.43,5.8,10.86,13.0,26.28,9.78,72.4
Aké,LEE,5.65,EVE,6.86,CHE,4.78,MUN,11.38,WOL,6.04,6.94,3.2,0.0,308,100.0,100.0,126184,0,0,0,0,0,2,1.0,1.0,0,Nathan,False,0,2022-08-22T07:00:05.769797Z,50,126184.jpg,Aké,0.9,False,0.0,a,13,43,26,228741,14888,269652,9416,0.0,5.2,570,0,0,3,5,0,0,0,0,0,0,1,126,105.6,33.3,56.0,19.6,7,0.1101,0.29009,0.40019,5.7229,244,91,276,87,224,52,272,89,0.0,0.0,0.0,0.0,0.0,0.0,0.01738,0.0,0.0458,0.06319,0.9036200000000001,0.79,184,21,465,209,117,35,190,69,1.1052600000000001,0.47368000000000005,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,0.0,3.0,7.0,8.0,6.0,0.46,1.0,90.0,90.0,0.0,4.0,1.0,0.2,2.45,15.75,13.2,4.16,7.0,2.0,3.2,13.0,12.4,13.8,6.0
Son,BRE,5.76,AVL,5.69,CRY,6.32,MCI,11.16,FUL,5.32,6.85,4.1,0.0,428,100.0,0.0,85971,0,0,-4,4,1,3,0.5,0.0,0,Son,False,0,2022-11-02T00:00:07.969471Z,116,85971.jpg,Heung-min,6.0,False,0.0,a,18,6,53,1113801,25593,2750315,32364,0.0,4.6,1030,3,2,4,14,0,0,0,0,0,0,3,154,251.0,384.7,446.0,107.9,12,3.5221,1.82738,5.349480000000001,12.0628,76,31,12,8,17,9,17,10,1.0,0.0,3.0,0.0,3.0,0.0,0.30776,0.0,0.15967,0.46743,1.05403,1.22,5,3,664,284,61,29,60,18,1.04854,0.34951,11,3,4,0,1.4,1.6,1.0,1.6,23.9,40.1,116.6,124.3,160.6,87.8,16.2,17.2,96.6,46.2,28.9,86.6,26.4,46.9,124.4,148.8,196.8,94.4,19.6,18.9,102.0,47.3,38.8,94.8,0,1,0.0,1.0,3.0,13.0,12.0,0.8,3.0,270.0,90.0,1.0,1.0,3.0,0.75,8.3,11.85,19.31,29.59,34.31,2.0,8.3,5.0,9.4,42.97,30.67
Kane,BRE,6.17,AVL,5.38,CRY,5.81,ARS,10.08,FUL,6.34,6.76,6.8,0.0,427,100.0,100.0,78830,0,0,1,-1,1,4,0.5,0.5,11,Harry,True,0,2022-10-08T20:30:07.678681Z,116,78830.jpg,Kane,27.6,False,0.0,a,18,6,102,3345916,494042,3091660,316000,0.0,8.8,1336,12,3,5,20,0,0,1,4,0,0,21,389,550.4,342.6,910.0,180.3,15,9.4483,1.3044,10.7527,16.3764,2,2,22,1,2,2,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.63649,0.0,0.08787,0.72436,1.1032,1.35,4,2,663,76,4,2,11,3,1.0104799999999998,0.33683,11,3,4,0,1.4,1.6,1.0,1.6,23.9,40.1,116.6,124.3,160.6,87.8,16.2,17.2,96.6,46.2,28.9,86.6,26.4,46.9,124.4,148.8,196.8,94.4,19.6,18.9,102.0,47.3,38.8,94.8,0,1,90.0,0.0,1.0,15.0,15.0,0.94,5.0,450.0,90.0,0.0,0.0,5.0,1.0,12.02,25.93,36.69,22.84,60.67,6.0,10.14,19.6,26.96,19.46,55.0
Rodri,LEE,4.94,EVE,6.82,CHE,5.09,MUN,11.14,WOL,5.73,6.74,2.9,0.0,315,100.0,100.0,220566,0,0,-4,4,0,3,1.0,1.0,2,Rodrigo,False,0,2022-10-02T21:00:07.266280Z,56,220566.jpg,Hernandez,1.5,False,0.0,a,13,43,38,153115,3952,318823,7118,0.0,6.8,1122,0,3,5,11,0,0,0,1,0,0,0,218,260.0,199.6,161.0,62.2,13,1.189,1.49068,2.67968,9.2787,71,30,67,53,111,71,78,53,0.0,0.0,0.0,0.0,0.0,0.0,0.09537000000000001,0.0,0.11957000000000001,0.21495,0.74428,0.88,100,54,572,237,149,63,143,48,1.0427799999999998,0.40107,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,0,1,90.0,0.0,3.0,13.0,13.0,0.81,4.0,360.0,90.0,0.0,1.0,4.0,0.8,4.78,16.77,20.0,15.35,12.38,2.25,5.08,15.75,18.8,15.12,16.75
Sterling,BOU,6.1,NFO,6.07,MCI,10.32,CRY,5.81,LIV,5.21,6.7,3.8,0.0,304,100.0,0.0,103955,0,0,-3,3,1,3,0.5,0.5,0,Raheem,False,0,0,97,103955.jpg,Sterling,4.3,False,0.0,a,6,8,45,1211065,16452,1501354,35276,0.0,4.6,949,3,1,3,13,0,0,0,3,0,0,4,96,176.6,261.4,335.0,77.3,11,3.0253,1.46484,4.49014,14.3623,161,69,43,35,37,22,45,33,5.0,0.0,0.0,0.0,0.0,0.0,0.28691,0.0,0.13892000000000002,0.42583000000000004,1.3620700000000001,1.23,8,5,660,282,80,39,75,24,1.0432,0.28451,15,2,3,1,1.1,2.0,1.6,2.0,25.4,40.4,118.6,132.3,152.3,96.9,23.6,19.8,100.6,49.3,47.8,107.2,24.2,39.3,114.1,135.8,142.2,93.6,26.4,25.7,125.2,58.5,72.2,119.8,0,1,0.0,0.0,5.0,12.0,11.0,0.69,4.0,258.0,64.0,0.0,2.0,3.0,0.6,6.44,8.0,14.72,21.78,27.92,1.5,3.85,3.5,5.4,22.62,10.5
Ortega,LEE,5.55,EVE,6.3,CHE,4.72,MUN,11.17,WOL,5.44,6.64,0.0,0.0,324,100.0,0.0,88248,0,0,-2,2,0,1,1.0,1.0,0,Stefan,False,0,0,38,88248.jpg,Ortega Moreno,1.0,False,0.0,a,13,43,0,140933,42889,103954,22160,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,452,28,434,11,385,2,454,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665,70,2,2,463,27,176,30,0.0,0.0,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson,LEE,5.55,EVE,6.3,CHE,4.72,TOT,11.17,WOL,5.44,6.64,0.0,0.0,502,100.0,0.0,17601,0,0,-2,2,1,1,1.0,1.0,0,Scott,False,0,0,38,17601.jpg,Carson,0.3,False,0.0,a,13,43,0,39624,14703,29019,6725,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,451,27,433,10,384,1,453,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,69,1,1,462,26,301,41,0.0,0.0,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walker,LEE,5.66,EVE,6.25,CHE,4.11,TOT,10.9,WOL,5.77,6.54,3.3,0.0,299,100.0,0.0,58621,0,0,-2,2,0,2,1.0,0.0,0,Kyle,False,0,2022-10-02T21:00:07.238617Z,48,58621.jpg,Walker,3.8,False,0.0,a,13,43,23,1009555,113430,1643215,38868,0.0,4.8,560,0,0,3,6,0,0,0,0,0,0,0,116,69.4,66.9,6.0,14.2,7,0.3211,0.20597,0.5270699999999999,3.6303,290,109,197,49,353,126,317,109,0.0,0.0,0.0,0.0,0.0,0.0,0.05161,0.0,0.0331,0.08471000000000001,0.58344,0.96,247,36,393,192,106,28,80,28,1.125,0.48213999999999996,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,0.0,8.0,2.0,7.0,6.0,0.75,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.03,16.57,9.91,9.56,0.86,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Gómez,LEE,5.36,EVE,6.25,CHE,4.38,MUN,10.78,WOL,5.55,6.46,1.4,0.0,587,100.0,0.0,437468,0,0,0,0,0,2,1.0,1.0,0,Sergio,False,0,0,45,437468.jpg,Gómez,0.1,False,0.0,a,13,43,7,36437,431,34007,1699,0.0,1.6,106,0,1,0,3,0,0,0,0,0,0,0,26,44.0,32.5,18.0,9.4,0,0.1396,0.19804000000000002,0.33764,1.988,326,126,278,89,320,111,340,120,0.0,0.0,0.0,0.0,0.0,0.0,0.11853,0.0,0.16815,0.28668000000000005,1.68792,2.55,374,89,303,173,336,122,441,162,0.0,0.0,4,2,11,0,1.4,1.6,2.2,2.6,25.4,34.3,123.8,92.2,127.2,92.1,13.4,13.9,86.4,29.4,22.8,70.1,33.6,43.2,163.3,99.7,168.6,118.6,13.8,17.4,104.6,43.3,26.2,81.4,1,0,0.0,0.0,12.0,5.0,1.0,0.08,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.88,5.2,8.8,6.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0
Robertson,AVL,6.29,LEI,6.11,BRE,6.56,BHA,5.53,CHE,7.45,6.39,3.6,0.0,284,100.0,100.0,122798,1,-1,-2,2,1,2,1.0,1.0,9,Andrew,False,0,2022-09-12T12:49:44.518979Z,68,122798.jpg,Robertson,5.3,False,0.0,a,12,14,43,706814,218102,1351324,115250,0.0,6.3,859,0,4,2,11,0,0,0,0,0,0,4,214,220.2,395.2,109.0,72.5,10,0.3737,2.52125,2.89495,12.7074,107,34,11,4,155,20,54,6,2.0,0.0,0.0,0.0,0.0,0.0,0.03915,0.0,0.26416,0.30330999999999997,1.33139,1.15,44,3,624,232,92,22,64,24,1.0477299999999998,0.20955,17,2,2,0,1.0,1.4,1.8,1.8,22.9,30.9,96.1,87.1,125.8,76.8,18.2,13.7,84.8,29.0,23.1,87.4,27.0,37.8,104.7,116.2,157.2,90.8,16.8,12.4,73.4,31.4,19.4,85.0,1,0,85.0,3.0,3.0,12.0,10.0,0.77,5.0,364.0,73.0,0.0,1.0,4.0,0.8,6.04,17.83,18.35,32.93,9.08,4.2,7.92,21.4,25.88,46.62,6.6
